DISTRITO,temp_promedio_total,grupo
CAPAZO,-0.5191071134000211,más fríos
SUSAPAYA,-0.5157803344726564,más fríos
TARATA,-0.499573587690081,más fríos
SANTA ROSA,-0.4861880077015271,más fríos
TICACO,-0.441739467274059,más fríos
SAN ANTONIO DE CHUCA,-0.43903056804950424,más fríos
CANDARAVE,-0.4359306534476902,más fríos
CONDOROMA,-0.41229465060763887,más fríos
PARATIA,-0.40945749136117787,más fríos
CARUMAS,-0.3411974711357793,más fríos
SAN JUAN DE TARUCANI,-0.3343182144165039,más fríos
TUTI,-0.3258119038173131,más fríos
PISACOMA,-0.32487246889056587,más fríos
AJOYANI,-0.3141027245154747,más fríos
SANTA LUCIA,-0.3063949867531105,más fríos
MORONA,2.3008980283257685,más cálidos
YAGUAS,2.3005027949892245,más cálidos
RAMON CASTILLA,2.2972546548045156,más cálidos
SAN PABLO,2.2934505008627304,más cálidos
PASTAZA,2.2919819599873312,más cálidos
PEBAS,2.287897277333106,más cálidos
LAS AMAZONAS,2.2814834299395157,más cálidos
IQUITOS,2.2780908203125003,más cálidos
PUTUMAYO,2.277923931782472,más cálidos
INDIANA,2.2761414683948864,más cálidos
YAVARI,2.274757087886461,más cálidos
LAGUNAS,2.2745656738281252,más cálidos
PUNCHANA,2.271770157724057,más cálidos
NAUTA,2.2706025523190045,más cálidos
URARINAS,2.269943167892157,más cálidos
